"Año","Comunidad autónoma","Provincia","Número de ayudas para cambio de residencia"
"Año 2016","País Vasco","Gipuzkoa","10.0"
"Año 2016","La Rioja","La Rioja","16.0"
"Año 2016","Ceuta","Ceuta","0.0"
"Año 2016","Melilla","Melilla","7.0"
"Año 2017","Andalucía","Almería","41.0"
"Año 2017","Andalucía","Cádiz","137.0"
"Año 2017","Andalucía","Córdoba","52.0"
"Año 2017","Andalucía","Granada","140.0"
"Año 2017","Andalucía","Huelva","43.0"
"Año 2017","Andalucía","Jaén","40.0"
"Año 2017","Andalucía","Málaga","74.0"
"Año 2017","Andalucía","Sevilla","148.0"
"Año 2017","Aragón","Huesca","16.0"
"Año 2017","Aragón","Teruel","14.0"
"Año 2017","Aragón","Zaragoza","114.0"
"Año 2017","Principado de Asturias","Asturias","167.0"
"Año 2017","Illes Balears","Illes Balears","91.0"
"Año 2017","Canarias","Las Palmas","69.0"
"Año 2017","Canarias","Santa Cruz de Tenerife","246.0"
"Año 2017","Cantabria","Cantabria","44.0"
"Año 2017","Castilla y León","Ávila","13.0"
"Año 2017","Castilla y León","Burgos","17.0"
"Año 2017","Castilla y León","León","31.0"
"Año 2017","Castilla y León","Palencia","8.0"
"Año 2017","Castilla y León","Salamanca","19.0"
"Año 2017","Castilla y León","Segovia","2.0"
"Año 2017","Castilla y León","Soria","6.0"
"Año 2017","Castilla y León","Valladolid","32.0"
"Año 2017","Castilla y León","Zamora","7.0"
"Año 2017","Castilla-La Mancha","Albacete","34.0"
"Año 2017","Castilla-La Mancha","Ciudad Real","38.0"
"Año 2017","Castilla-La Mancha","Cuenca","9.0"
"Año 2017","Castilla-La Mancha","Guadalajara","25.0"
"Año 2017","Castilla-La Mancha","Toledo","79.0"
"Año 2017","Cataluña","Barcelona","278.0"
"Año 2017","Cataluña","Girona","23.0"
"Año 2017","Cataluña","Lleida","29.0"
"Año 2017","Cataluña","Tarragona","32.0"
"Año 2017","Comunitat Valenciana","Alicante/Alacant","202.0"
"Año 2017","Comunitat Valenciana","Castellón/Castelló","64.0"
"Año 2017","Comunitat Valenciana","Valencia/València","253.0"
"Año 2017","Extremadura","Badajoz","44.0"
"Año 2017","Extremadura","Cáceres","36.0"
"Año 2017","Galicia","A Coruña","78.0"
"Año 2017","Galicia","Lugo","15.0"
"Año 2017","Galicia","Ourense","11.0"
"Año 2017","Galicia","Pontevedra","40.0"
"Año 2017","Comunidad de Madrid","Madrid","343.0"
"Año 2017","Región de Murcia","Murcia","137.0"
"Año 2017","Comunidad Foral de Navarra","Navarra","48.0"
"Año 2017","País Vasco","Araba/Álava","23.0"
"Año 2017","País Vasco","Bizkaia","43.0"
"Año 2017","País Vasco","Gipuzkoa","14.0"
"Año 2017","La Rioja","La Rioja","18.0"
"Año 2017","Ceuta","Ceuta","0.0"
"Año 2017","Melilla","Melilla","4.0"
"Año 2018","Andalucía","Almería","43.0"
"Año 2018","Andalucía","Cádiz","113.0"
"Año 2018","Andalucía","Córdoba","39.0"
"Año 2018","Andalucía","Granada","101.0"
"Año 2018","Andalucía","Huelva","36.0"
"Año 2018","Andalucía","Jaén","44.0"
"Año 2018","Andalucía","Málaga","78.0"
"Año 2018","Andalucía","Sevilla","130.0"
"Año 2018","Aragón","Huesca","18.0"
"Año 2018","Aragón","Teruel","16.0"
"Año 2018","Aragón","Zaragoza","119.0"
"Año 2018","Principado de Asturias","Asturias","157.0"
"Año 2018","Illes Balears","Illes Balears","76.0"
"Año 2018","Canarias","Las Palmas","82.0"
"Año 2018","Canarias","Santa Cruz de Tenerife","192.0"
"Año 2018","Cantabria","Cantabria","40.0"
"Año 2018","Castilla y León","Ávila","9.0"
"Año 2018","Castilla y León","Burgos","10.0"
"Año 2018","Castilla y León","León","32.0"
"Año 2018","Castilla y León","Palencia","9.0"
"Año 2018","Castilla y León","Salamanca","18.0"
"Año 2018","Castilla y León","Segovia","2.0"
"Año 2018","Castilla y León","Soria","0.0"
"Año 2018","Castilla y León","Valladolid","26.0"
"Año 2018","Castilla y León","Zamora","4.0"
"Año 2018","Castilla-La Mancha","Albacete","26.0"
"Año 2018","Castilla-La Mancha","Ciudad Real","39.0"
